date,month,site,clarity,depth range,shallow_m,deep_m,tow,start_meter,end_meter,start_time,end_time,rpm,speed,bottle_id,x,y,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,May,NTS,,31.7-39,31.7,39,deep,145114,187755,6:04,6:14,28,,NTSLT231,-119.6046967,40.160655,deep not shallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/22/2023 20:29,saber1229,5/22/2023 20:29,saber1229
5/21/2023,May,NTS,,13.7-24.7,13.7,24.7,shallow,331666,368606,10:51,11:01,21,14.6,NTSLT232,-119.6204917,40.17190333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,May,PEP,,20-May,5,20,shallow,196207,229421,9:13,9:23,23,14.6,PEPLT231,-119.61979,40.00124333,mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/22/2023 20:29,saber1229,5/22/2023 20:29,saber1229
5/21/2023,May,PEP,,38.3-57,38.3,57,deep,229426,262263,9:31,9:41,22,14.6,PEPLT232,-119.6152183,40.00553167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,May,PLQ,,19-Sep,9,19,shallow,262268,295830,10:04,10:14,21,14.6,PLQLT231,-119.68654,40.08944667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/22/2023 20:29,saber1229,5/22/2023 20:29,saber1229
5/21/2023,May,PLQ,,32-45.3,32,45.3,deep,295822,331662,10:20,10:30,21,14.6,PLQLT232,-119.6765183,40.094725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,May,HEK,,13-19,13,19,shallow,368606,405755,11:20,11:30,21,14.6,HEKLT231,-119.5259417,40.16630167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/22/2023 20:29,saber1229,5/22/2023 20:29,saber1229
5/21/2023,May,HEK,,31.4-40,31.4,40,deep,405754,438737,11:39,11:49,22,14.6,HEKLT232,-119.543235,40.16489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,May,ABY,,4-37.9,4,37.9,shallow,438739,465819,12:08,12:16,21,14.6,ABYLT231,,,too many anglers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/22/2023 20:29,saber1229,5/22/2023 20:29,saber1229
5/21/2023,May,ABY,,42-47,42,47,deep,465824,497347,12:20,12:30,21,14.6,ABYLT232,-119.4993433,40.08684333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
