site,month,net,matureF#,matureM#,matureFCpue,matureMCpue
ABY,5,GIL10,7,2,0.504067737,0.144019353
ABY,5,GIL20,12,2,0.903968459,0.15066141
ABY,5,GIL30,11,4,0.859244603,0.312452583
ABY,6,GIL10,28,59,2.243265497,4.726880868
ABY,6,GIL20,2,3,0.165493528,0.248240292
ABY,6,GIL30,0,0,0,0
ABY,7,GIL10,15,5,1.367781155,0.455927052
ABY,7,GIL20,0,0,0,0
BLH,5,GIL10,4,3,0.289505428,0.217129071
BLH,5,GIL20,1,1,0.076628352,0.076628352
BLH,5,GIL30,5,5,0.406504065,0.406504065
BLH,6,GIL10,4,7,0.374414977,0.655226209
BLH,6,GIL20,0,0,0,0
BLH,6,GIL30,1,2,0.099667774,0.199335548
BLH,7,GIL10,7,8,0.628893352,0.718735259
BLH,7,GIL20,0,0,0,0
DAG,6,GIL10,12,5,0.859188544,0.357995227
DAG,6,GIL20,6,1,0.444444444,0.074074074
DAG,6,GIL30,2,0,0.151324086,0
DAG,7,GIL10,2,3,0.117550871,0.176326306
DAG,7,GIL20,1,0,0.089020772,0
HEK,5,GIL10,4,3,0.338504937,0.253878702
HEK,5,GIL20,1,0,0.08356546,0
HEK,5,GIL30,1,1,0.092735703,0.092735703
HEK,6,GIL10,13,24,1,1.846153846
HEK,6,GIL20,6,0,0.489130435,0
HEK,6,GIL30,1,0,0.083449235,0
HEK,7,GIL10,14,8,1.184767278,0.677009873
HEK,7,GIL20,0,0,0,0
NTS,5,GIL10,6,4,0.514285714,0.342857143
NTS,5,GIL20,2,2,0.162822252,0.162822252
NTS,5,GIL30,0,0,0,0
NTS,6,GIL10,1,2,0.078843627,0.157687254
NTS,6,GIL20,0,0,0,0
NTS,6,GIL30,0,0,0,0
NTS,7,GIL10,2,3,0.178041543,0.267062315
NTS,7,GIL20,0,0,0,0
PEP,5,GIL10,0,0,0,0
PEP,5,GIL20,2,1,0.132013201,0.066006601
PEP,5,GIL30,6,2,0.424028269,0.141342756
PEP,6,GIL10,9,7,0.718085106,0.558510638
PEP,6,GIL20,0,2,0,0.167130919
PEP,6,GIL30,0,0,0,0
PEP,7,GIL10,9,13,0.735694823,1.0626703
PEP,7,GIL20,1,2,0.084985836,0.169971671
PLQ,5,GIL10,9,18,0.712245514,1.424491028
PLQ,5,GIL20,2,0,0.162070578,0
PLQ,5,GIL30,1,0,0.082705516,0
PLQ,6,GIL10,10,9,0.819672131,0.737704918
PLQ,6,GIL20,0,0,0,0
PLQ,6,GIL30,0,0,0,0
PLQ,7,GIL10,7,3,0.586592179,0.251396648
PLQ,7,GIL20,0,0,0,0
PYR,5,GIL10,9,31,0.701296379,2.415576416
PYR,5,GIL20,4,14,0.328767123,1.150684932
PYR,5,GIL30,1,1,0.088105727,0.088105727
PYR,6,GIL10,24,76,1.740176082,5.510557592
PYR,6,GIL20,7,10,0.534652845,0.763789779
PYR,6,GIL30,0,1,0,0.078155921
PYR,7,GIL10,6,2,0.537313433,0.179104478
PYR,7,GIL20,0,1,0,0.093312597
TAM,5,GIL10,0,13,0,0.881173093
TAM,5,GIL20,0,0,0,0
TAM,5,GIL30,0,0,0,0
TAM,6,GIL10,3,2,0.233766234,0.155844156
TAM,6,GIL20,4,3,0.326086957,0.244565217
TAM,6,GIL30,1,1,0.084507042,0.084507042
TAM,7,GIL10,6,3,0.533253398,0.266626699
TAM,7,GIL20,1,0,0.095532601,0
ABY,6,HOPS,0,0,0,0
ABY,7,HOPS,0,1,0,0.083217753
BLH,7,HOPS,0,1,0,0.084705508
DAG,6,HOPS,0,0,0,0
DAG,7,HOPS,0,0,0,0
HEK,6,HOPS,0,0,0,0
HEK,7,HOPS,0,0,0,0
NTS,6,HOPS,0,0,0,0
NTS,7,HOPS,0,0,0,0
PEP,6,HOPS,48,8,3.469879518,0.578313253
PEP,7,HOPS,0,0,0,0
PLQ,6,HOPS,0,0,0,0
PLQ,7,HOPS,0,0,0,0
PYR,6,HOPS,0,0,0,0
PYR,7,HOPS,0,3,0,0.249307479
TAM,6,HOPS,55,5,4.135338346,0.37593985
TAM,7,HOPS,0,0,0,0
PEP,7,GIL30,0,0,0,0
NTS,7,GIL30,0,0,0,0
HEK,7,GIL30,0,0,0,0
DAG,7,GIL30,0,0,0,0
