site,month,surface_temp,clarity,conductivity,net,date_time_set,depth_1,depth_2,date_time_pull,lat,long
ABY,5,13.7,5.7,8.07,MIN01,5/21/2022 18:04,1,,5/22/2022 8:40,,
ABY,5,13.7,5.7,8.07,MIN02,5/21/2022 18:05,1.8,,5/22/2022 8:40,,
ABY,5,13.7,5.7,8.07,MIN05,5/21/2022 18:09,4.4,,5/22/2022 8:34,,
ABY,5,13.7,5.7,8.07,GIL10,5/21/2022 17:36,5.3,15,5/22/2022 7:29,,
ABY,5,13.7,5.7,8.07,HOP10,5/21/2022 17:53,5,,5/22/2022 8:18,,
ABY,5,13.7,5.7,8.07,MIN10,5/21/2022 18:13,8.5,,5/22/2022 8:34,,
ABY,5,13.7,5.7,8.07,MIN15,5/21/2022 18:24,12,,5/22/2022 8:30,,
ABY,5,13.7,5.7,8.07,GIL20,5/21/2022 17:33,15,25,5/22/2022 6:49,,
ABY,5,13.7,5.7,8.07,HOP20,5/21/2022 17:49,16,,5/22/2022 8:13,,
ABY,5,13.7,5.7,8.07,MIN20,5/21/2022 18:29,17,,5/22/2022 8:25,,
ABY,5,13.7,5.7,8.07,MIN25,5/21/2022 18:34,21,,5/22/2022 8:24,,
ABY,5,13.7,5.7,8.07,GIL30,5/21/2022 17:30,25,31.9,5/22/2022 6:18,,
ABY,5,13.7,5.7,8.07,HOP30,5/21/2022 18:47,24.2,,5/22/2022 8:10,,
ABY,5,13.7,5.7,8.07,MIN30,5/21/2022 18:37,25.2,,5/22/2022 8:20,,
ABY,6,17.8,8.44,8.25,MINBEN01,6/24/2022 18:16,1,,6/25/2022 8:07,-119.5015767,40.09411667
ABY,6,17.8,8.44,8.25,MINBEN02,6/24/2022 18:16,2,,6/25/2022 8:07,-119.5016267,40.09407
ABY,6,17.8,8.44,8.25,MINBEN05,6/24/2022 18:18,4.6,,6/25/2022 8:05,-119.5018017,40.09397
