site,set_order,toggle,net,panel,date_time_set,shallow_m,deep_m,date_time_pull,x,y,notes
PEP,1,1,CORE10,0,5/17/2023 17:13,5.1,10.2,5/18/2023 9:30,-119.6230783,39.997505,
PEP,1,1,CORE20,0,5/17/2023 17:18,13.1,16.1,5/18/2023 8:55,-119.6224,39.99766333,
PEP,1,1,1,1,5/17/2023 17:28,2.1,2.3,5/18/2023 8:27,-119.62424,39.99753833,"forgot to take clarity, did not separate panels"
PEP,1,1,1,2,5/17/2023 17:28,2.1,2.3,5/18/2023 8:27,-119.62424,39.99753833,"forgot to take clarity, did not separate panels"
PEP,1,1,2,1,5/17/2023 17:32,2.7,4,5/18/2023 7:50,-119.6240267,39.997595,
PEP,1,1,2,2,5/17/2023 17:32,2.7,4,5/18/2023 7:50,-119.6240267,39.997595,
PEP,1,1,3,1,5/17/2023 17:34,4.3,4.7,5/18/2023 7:21,-119.6240133,39.99796667,
PEP,1,1,3,2,5/17/2023 17:34,4.3,4.7,5/18/2023 7:21,-119.6240133,39.99796667,
PEP,1,1,4,1,5/17/2023 17:37,5.7,7.3,5/18/2023 6:57,-119.62353,39.998015,
PEP,1,1,4,2,5/17/2023 17:37,5.7,7.3,5/18/2023 6:57,-119.62353,39.998015,
PEP,1,1,5,1,5/17/2023 17:40,7.8,8.4,5/18/2023 6:53,-119.6233983,39.99818,
PEP,1,1,5,2,5/17/2023 17:40,7.8,8.4,5/18/2023 6:53,-119.6233983,39.99818,
PEP,1,1,6,1,5/17/2023 17:42,8.7,9.6,5/18/2023 6:36,-119.6232917,39.99838,
PEP,1,1,6,2,5/17/2023 17:42,8.7,9.6,5/18/2023 6:36,-119.6232917,39.99838,
PEP,1,1,7,1,5/17/2023 17:44,10.7,11.7,5/18/2023 6:31,-119.6229233,39.99856667,
PEP,1,1,7,2,5/17/2023 17:44,10.7,11.7,5/18/2023 6:31,-119.6229233,39.99856667,
